exp,replicate,i,j,transition,method,accuracy_top1,transport_cost,mass
exp2,1,3,4,1.5→2,mm-l2,0.5443349753694581,0.0003515041119144421,0.9788367452244386
exp2,1,3,4,1.5→2,partial,0.43103448275862066,8.278217229206154e-05,0.6999999999999995
exp2,2,0,1,0→0.5,entropic-kl,0.8768115942028986,0.003174112676071794,0.8433021247168897
exp2,2,0,1,0→0.5,mm-kl,0.8115942028985508,0.0007325878512788978,0.9893898752641642
exp2,2,0,1,0→0.5,mm-l2,0.8260869565217391,0.0006727276190744262,0.9846486383441608
exp2,2,0,1,0→0.5,partial,0.7463768115942029,0.00011503172493717407,0.7
exp2,2,1,2,0.5→1,entropic-kl,0.6914893617021277,0.0031245028980472506,0.8421442969667952
exp2,2,1,2,0.5→1,mm-kl,0.6808510638297872,0.0006097582149318392,0.9887395521684673
exp2,2,1,2,0.5→1,mm-l2,0.7074468085106383,0.0004806682299526222,0.9794566056649308
exp2,2,1,2,0.5→1,partial,0.5797872340425532,9.433512822237414e-05,0.6999999999999997
exp2,2,2,3,1→1.5,entropic-kl,0.4716981132075472,0.00298010324382004,0.8458141827002443
exp2,2,2,3,1→1.5,mm-kl,0.4867924528301887,0.0005740876001494975,0.9924698988718981
exp2,2,2,3,1→1.5,mm-l2,0.5169811320754717,0.000404540227371533,0.982988312611834
exp2,2,2,3,1→1.5,partial,0.4490566037735849,9.291709315592588e-05,0.6999999999999997
exp2,2,3,4,1.5→2,entropic-kl,0.38461538461538464,0.0029754364076933497,0.8451936973330403
exp2,2,3,4,1.5→2,mm-kl,0.4297082228116711,0.00047504696346618294,0.9930015169765303
exp2,2,3,4,1.5→2,mm-l2,0.47745358090185674,0.00031741049150272894,0.9809214324523461
exp2,2,3,4,1.5→2,partial,0.35809018567639256,7.723233572126499e-05,0.6999999999999991
exp2,3,0,1,0→0.5,entropic-kl,0.8269230769230769,0.003359874570633172,0.8441839217446001
exp2,3,0,1,0→0.5,mm-kl,0.7051282051282052,0.0008046035255924693,0.9873601932491158
exp2,3,0,1,0→0.5,mm-l2,0.7371794871794872,0.0007057831293229706,0.9806339014688419
exp2,3,0,1,0→0.5,partial,0.6794871794871795,0.00011976838440079675,0.7000000000000002
exp2,3,1,2,0.5→1,entropic-kl,0.46788990825688076,0.0032387736329199477,0.8460610533801934
exp2,3,1,2,0.5→1,mm-kl,0.5137614678899083,0.0006631805036417425,0.9892432515016176
exp2,3,1,2,0.5→1,mm-l2,0.5412844036697247,0.0004940474256153822,0.978961743004566
exp2,3,1,2,0.5→1,partial,0.44954128440366975,0.00010517824222208225,0.6999999999999998
exp2,3,2,3,1→1.5,entropic-kl,0.4813664596273292,0.0032271875228330163,0.8491273803893955
exp2,3,2,3,1→1.5,mm-kl,0.5217391304347826,0.0005041426190931851,0.992695819215853
exp2,3,2,3,1→1.5,mm-l2,0.5341614906832298,0.0003585285423758046,0.9824942666490029
exp2,3,2,3,1→1.5,partial,0.41304347826086957,8.410816198273838e-05,0.6999999999999996
exp2,3,3,4,1.5→2,entropic-kl,0.37585421412300685,0.003174492491674147,0.8507192264375965
exp2,3,3,4,1.5→2,mm-kl,0.47380410022779046,0.0004019886034346338,0.994903498060949
exp2,3,3,4,1.5→2,mm-l2,0.4806378132118451,0.00027275400817106587,0.9839499265706733
exp2,3,3,4,1.5→2,partial,0.3416856492027335,6.501563598524898e-05,0.6999999999999997
exp2,4,0,1,0→0.5,entropic-kl,0.837037037037037,0.003407120746604423,0.8403390482826516
exp2,4,0,1,0→0.5,mm-kl,0.8518518518518519,0.0008735474936471285,0.9873573610947438
exp2,4,0,1,0→0.5,mm-l2,0.8592592592592593,0.0007936312299017192,0.9817153695302061
exp2,4,0,1,0→0.5,partial,0.7481481481481481,0.00015274959099709313,0.7000000000000002
exp2,4,1,2,0.5→1,entropic-kl,0.6483516483516484,0.00318868323344785,0.8427386347366543
exp2,4,1,2,0.5→1,mm-kl,0.6373626373626373,0.0006732773448281848,0.9890955832352648
exp2,4,1,2,0.5→1,mm-l2,0.6538461538461539,0.000535001127747355,0.9804225738678648
exp2,4,1,2,0.5→1,partial,0.5164835164835165,0.00012377480520494013,0.7
exp2,4,2,3,1→1.5,entropic-kl,0.58203125,0.003147255863901021,0.845411714292716
exp2,4,2,3,1→1.5,mm-kl,0.5546875,0.0006441384143271066,0.9909910627073163
exp2,4,2,3,1→1.5,mm-l2,0.6015625,0.0004481518145915579,0.9802479374592559
exp2,4,2,3,1→1.5,partial,0.4921875,0.00010145780595317695,0.7000000000000001
exp2,4,3,4,1.5→2,entropic-kl,0.468586387434555,0.003156076687500441,0.8457917832327196
exp2,4,3,4,1.5→2,mm-kl,0.4869109947643979,0.0005358676254385244,0.9923410764552484
